id	group	carnt0	carnt1	carnt2	carnt3	carnt4	carnt5	carnt6	carnt7	carnt8	carnt9	carnt16	carnt17	carnt18	carnt19	carnt20	carnt21	carnt22	carnt23	carnt24	carnt25	carnt26	carnt27	carnt28	carnt29	carnt30
1	1	70	37	48	50	66	54	55	58	77	79	38	51	23	57	19	21	na	36	19	33	30	33	21	21	28
2	1	43	44	43	41	37	28	28	29	28	24	30	33	17	17	26	19	20	22	23	23	26	24	20	19	26
3	1	38	30	32	25	24	20	24	21	27	24	26	30	24	18	21	17	na	19	24	35	23	21	19	30	25
4	1	31	30	21	22	18	25	17	17	19	17	26	30	24	24	21	13	na	20	27	19	26	24	35	26	20
5	1	30	27	30	26	17	20	33	28	83	28	26	27	26	27	34	31	30	51	20	18	26	36	25	21	35
6	1	29	26	25	23	18	27	31	28	20	25	18	33	35	18	21	41	40	17	21	53	49	60	23	30	37
7	1	28	17	23	26	25	21	24	23	24	25	17	26	24	18	15	19	20	15	17	18	17	16	15	18	17
8	2	68	76	82	89	70	55	79	70	42	38	58	67	68	44	60	71	34	40	58	45	35	54	55	50	43
9	2	59	73	38	40	57	38	44	50	48	32	45	57	30	45	65	52	52	61	41	41	60	60	30	35	47
10	2	40	73	63	68	31	27	45	60	27	34	30	45	50	30	25	32	na	25	34	35	53	30	20	55	70
11	2	41	27	40	49	38	60	99	75	35	28	31	21	26	25	24	26	na	25	26	27	28	46	93	32	19
12	2	35	61	34	30	55	37	26	26	26	32	44	34	33	46	32	25	23	25	25	21	36	35	29	27	30
13	2	35	33	36	30	30	22	46	27	25	14	24	23	23	21	21	19	14	22	18	18	12	36	25	18	17
14	2	33	41	36	24	26	35	25	21	27	25	24	41	24	25	15	28	29	14	20	25	38	14	14	27	39
